text,hate
"após fim do ppi, petrobrás anuncia redução de r$ 0,44 no litro do diesel e de r$ 0,40 na gasolina link também nesta terça-feira, a companhia anunciou uma mudança em sua política de preços, com o fim dos preços de paridade de importação",0
@user eu furaria meu olho do jeito q sou desastrado se tivesse uma,0
eu abomino esse domínio que ódio kazuha link,0
pessoa confundi favor com obrigação ??,0
"@user podia ser 66.666, mais poético. se bem que na bíblia o número 7 significa infinito",0
@user tragam a camisa de força,0
oi mengudo vamo fazer a boa hoje ne,0
aparentemente eu vou ter que ir quarta link,0
@user parabéns!!! muitas felicidades!!! ??????,0
que saudade ??,0
tô a muito tempo conversando com um bot do akaza,0
matias rojas com a camisa do fogão que visão meus amigos,0
@user oi vem dm rapidinho,0
"@user @user @user se é mentira, então quem tá mentindo é o jornal como mostra ali na imagem parece que é da globo ou do sbt, e a sua fonte sobre a prévia da inflação foi do (pode 360) que amar muito o bozo né, se o bozo pisar na merda eles notícia ""bolsonaro acabar de pisar na??, prendam ele",1
eu to trabalhando tanto que n irônicamente eu continuo com depressão e agora tenho bornout ???? link,0
meu professor com as ideia de usar md em tanque de privação sensorial dnovo ??,0
@user cadê o negócio no siteeeee,0
dormi muito mal aaaa infecção no ouvido ta foda,0
@user literalmente ou hipoteticamente? ?? espero que já esteja resolvido. boa tarde ana. ??,0
@user sim kkkkk ela é maravilhosa,0
hoje tem milan na champions e hoje tem flamengo na copa do brasil eu vou me m,0
to com ódio da victoria do passado que esteve ao lado de cynthia luz e simplesmente esqueci cancela vodka pra victoria,0
"@user ah é, ainda sobra uns 50 reais ne? tmnc. não sabe quanto custa 1kg de arroz",0
"@user @user quem tá falando bosta é você, não entende porra nenhuma de futebol, o q eu falei é um fato, e vc vem falar de luxemburgo e felipão, hoje o melhor técnico do brasil é o abel ferreira disparado, com 12 títulos em menos de 3 anos, não tem o q falar fica calado mongolóide",1
"@user porque vcs disseram que foi desfile de machos akakksksk acordei e há peguei a becky subindo no palco, ha!!!!! amo!!!!",0
meu deus mano que ódio que ódio que ódio.,0
@user eu sei mas é bom genérico de herói,0
@user verdade amiga kkkk,0
eu tenho um ódio de reunião online,0
"@user ué, tô mentindo?",0
branco faz qualquer coisa e e ovacionado né? por isso que só quero consumir a maioria artistas pretos,1
@user kkkkkkkkkkkkk q ódio,0
só queria minha mãe agora comigo ??,0
@user @user @user em torneio colega,0
@user em vez de fazer logo uma menagi,0
eu amo minha vó kkkkkkkkkkkkkkkkk,0
"quer ter acesso gratuito à minha página no notion com uma lista das melhores ferramentas de ia que estou usando, além dos meus prompts favoritos? dê um like, retweet e comente ""ai"" no tweet acima pra receber seu link! você precisa me seguir para que eu possa te enviar o link link",0
@user @user e não julgue os outros por vc que faz parte da jumentalha.,1
@user florida,0
@user carne está passada!!,0
@user @user @user kkkkkkkkkkkkkkkkkkkkkk q ódio,0
agora que descobri que ela que fez bridgerton to com mais ódio da cara dwla,0
@user que divo ??????,0
calada vence calada vence calada vence,0
só sabe me humilhar mas eu te amo jae link,0
@user @user @user @user me recuso a responder os fãs da lana pois somos filhos da mesma mãe,0
@user anônimo de 15 anos. que não paga boleto e nunca levou um chifre. em breve ele muda de opinião.,0
kkkkkkkkkkkkk mano link,0
eu fico tanto no site da levis q se alguém me pedir eu posso listar e desenhar todas as calças retas q tem e falar o preço,0
@user kkkkkkkkk mano é uma maldição de todo músico.,0
"@user mn, aqui nem vai ter no cinemas, q ódio",0
"@user bolsonaro quer dar o golpe, quem deu o golpe. bolsonaro quer intervir na petrobrás, quem interviu na petrobrás. bolsonaro quer intervir na polícia federal, quem interviu na polícia federal. bolsonaro quer fazer censura, quem faz hoje a censura no brasil?",0
