mensagem,odio
"RT @user Geraldo Alckmin vs Jair Bolsonaro
A esquerda vai ter que escolher se vai ficar sem merenda ou sem dar o cu",0
"@user @user vacila não buceta (mas eu faço o mesmo, só q sempre to segurando o celular quando entro no buso pq sou medroso)",0
@user todo dia um jovem passando vergonha na internet.,0
eu com o chip da claro 馃憥馃従,0
Todo o lixo veio a tona!,0
"a porra minha mãe botou 20 reais de crédito para mim e meus créditos não chegou,chip tóxico",0
excitou o teu rabo de viado psicopata escroto filho da puta me atacando enquanto eu cago sua merda de mané filho da puta   ?,1
depois eu ainda ouvirei do meu avô que isso aqui é obra do bolsonaro ok link,0
Rapunzel,0
rt @user n é possível que existe gente que gosta de um tempo lixo desse,0
Nenhuma pessoa deveria dar ouvidos para essa garota. E nosso presidente toda vez que aparece na TV é por causa de falas que não cabem a um líder de um país fazer!,0
"RT @user DEPUTADAS DA BANCADA ""FEMINISTA"" TIRAM PROVEITO DO DIA INTERNACIONAL DAS MULHERES... ",0
o que achou?,0
"@user de jeito nenhum... só que nesse caso como mta gnt veio de mimimi pra cima, quis saber se era so eu q n tava achando nada d+",0
"Se vc n faz parte do fandom, n conviveu cm a gente  não sai faland merda.
Se deixando se levar por mentiras.

Qual é o problema de entender q nng ameaçou nng aqui .

VÃO TUDO SE LASCAR !",0
"O mercado sempre reage a essas movimentações políticas, no caso procurem sobre a queda da bolsa Argentina e a taxa de juros.",0
E quando os obstáculos estão dentro de casa? 🤣,0
eu amo uma carioca,0
"Crie sua filha forte, para que entenda ""seu corpo, suas regras"". Evitem fracos de verdade, que possam impor mentiras do tipo: ""seu pescoço, minhas rédeas""
 
Deuses Ateus ficou foda pra caralho",0
"avaliei ""pretty girls"" com 4 de 5 estrelas link #skoob",0
"@user ainda bem que vc n é de curitiba, se n teria que tá andando de regata e reclamando do calor.",0
quando que vai proibir esta merda,0
eu sou assim de saúde ?? link,0
@user vou colar na minha testa isso,0
caloteira!!,0
"ustra: não pode homenagear
che: pode homenagear",0
@user meu pai a pupila da pobi do tamanho do mundo é desviando olhar a bichinha vivia um jogo todo em uma prova de resistência msm,0
preciso sair na mão c alguém p liberar essa raiva,0
@user claro né 😏,0
"A tá ,a esquerda pode falar que vai incendiar o país e ninguém fala nada.",0
Já poderia sair Logan em preto e branco com várias musica do Johnny Cash,0
"hoje vai ter rap, cerva, erva e muita larica",0
"馃敟馃弳 S贸 restam 8鈨� em busca da #GloriaEterna! Eis o caminho que leva para #Santiago2019 em novembro!

馃嚙馃嚪 Um brasileiro estar谩 na final da #Libertadores! ",0
tens agua? link,0
@user seu cu,1
t谩 friu do nada,0
