mensagem,odio
lixo,1
nao vergonha cara,1
mulher doentepilantra,1
Comunista safar,1
Vagabunda Comunista Mentirosa chileno nao merecer desgraça,1
COMUNISTA SAFADA MALPARIDA MAMAGUEVA DESGRAÇADA COÑO MADRE,1
besta quadrar,1
elegeur custa,1
comunista lixo,1
pena galinho VACA LOUCA,1
Mande Bachelet plantar batata asfalto puta parir tamborete bordel achar direito falar Brasil,1
mulherzinha safar,1
oportunista corruptaAgora Comunistas vítima,1
bandida,1
Mentem roubar mamar,1
igual pensar rabo,1
plano esquerda ser críticar plano governo único plano roubar,1
Guarde pena ânsia vômito,1
caráter presidente Bolsonaro,1
problema de ela tetinha secar,1
ser alguém sã consciência acreditar farsante acreditar fio cabelo pintar,1
cara homem né Macron achar gata,1
cara pau,1
nojo pilantra,1
Olha ai hipocrisia mulher,1
Joga carteira trabalho correr verdade gostar trabalhar saber roubar Brasil,1
Velha idiota,1
bandida,1
BACHELETA TRETA MUTRETA CHILENACANALHA SAPATONA BICHELETA,1
Ridícula nojentar,1
hipocrisia seculo caráter humano dar certo,1
realidade imbecilidade humano moral prá,1
pena vc ridículo,1
pena Brasil PT corruPTos mundo tirar vantagem riqueza hipócrita amiga Dilma,1
Óleo peroba pra lustrar cara pau,1
Mentir roubar comunista saber Trabalhar produzir algum jamais,1
Velha barriguda d folgado heim,1
esquerdista falar democracia levar surra voto vagabundo jurar Deus tapa lateral,1
ganância falar alto corrupta,1
nojo,1
Devolve dinheiro roubar via OAS,1
esquerdista ridículo,1
passar mero oportunista passar múmia esquerdista atividade querido zambelli informação,1
Rapariga cego vagabunda pensar pra pitaco vagabunda,1
Bachelet vc esquerdista hipócrita Ter pena vc,1
Q mulher ordinário,1
realmente verdadeiro hipócrita,1
Simples canalha amar dinheiro acabar pra ficar choradeira Esgoto Lama podre ehr comunismo merda Canalhas,1
Pq vaca,1
porca asqueroso,1
realmente hipocrisia estampado cara pau,1
Ridícula cuidar vida,1
pena de ela descobrir podre de ela imoral,1
Velha cretino,1
esquerda aproveitar ser país,1
Horrorosa vaca sujo,1
pena vc corrupta qdo presa,1
Hipocrisia esquerdopata oportunista,1
sentir ranço de ela guardar pena de ela pra mesmo conta Lula mandar dinheiro,1
bandidagem safar Globolixo globonewslixo mídia lixo nojentar apátrido,1
Falsa nota 30,1
