mensagem,odio
nivel amizade isis insta de ela pensar mandar mensagem falano otario ta falar dnv insta,1
rt cara adulter dado desmascarar ficar governo,1
cara simplesmente vencedor história futebol tar 36 ano gás gordo joelho foder,1
to chorar vei vsf staneio izone,1
eleitor Bolsonaro ignorante q perceber q frase abaixo significar seguinte bom falar monte bosta ficar calado transformar imagem bonitinho citação data hahhahahahhahahhahah,1
rt responder 75 conversa cobrar atenção caralho,1
jack Msm música agr flodar dia,0
ruim pra pedir desafio técnico Azerbaijão,1
ficor ver pensar desvantagem kpop ser difundido millenium americano ta acostumar gente dançar perfomance coreografia veer dança verdade sincronia ficar bugado,1
frio caralho q to coração,1
mentiroso,1
mexer feder,1
filho prioridade,0
hoje dar vontade abraçar mãe chorar dia inteiro tpm ser,0
conta ir 10 ano abril perder seguidor recomeçar suspender dia 25 julho outro criminalidade absurdo honesto trabalhador ser adestrar,0
ter encomendar serviço,0
invadir stf chegar d mão vazio,1
Folha Paulo pra eu servir pra pendurar banheiro posto gasolina mão falar achar ler fotonovela existir proveitoso,1
Vc louco defender INPE conversa vc cego disléxica achar péssimo exoneração fazer hoje ciência trabalho q INPE enfim ir perder vc abraçar DataFolha esperar virada Haddad Ciro turno kkkkk,1
nao deixar cabeça maluco corpo lir jeitinho praia hein ir cara,1
hormonio pular,1
hoje caso dormir prender,1
loucuraaaaaa querooooooooo,0
morador terra Pará conselheiro 2 UCs falar segurança dado Inpe realmente estar ser manipular ativista travestir cientista pra prejudicar imagem governo Bolsonaro ministro Salles provar,1
bixete,1
outro gestor haver consenso jogar investimento longo prazo provocar categórico haver carregar 10 ano olho fechar Itaú outro banco,1
rt hora colocar fato mesa,0
gambenja gambá contratar ruimgil dinheiro pra pagar marmita s,1
1h30 sair casa deitado sofá ser,0
Mano to super ai pensar certo coisa fechor cara ninguém entender nd,0
rt parar costa praia ficor morena costa frente pareçar pacote l,0
respeitar faxavor,0
fato haver argumento Jair ficar Europa,0
ahhhhhhhh obg kskskskskskks dizer q horrível cantar,0
vivo vida vc vivo pq dps vc morrer n viverr,0
Vc pensar Coaf acordar alice Acha PF engessado linha investigação achar jornalista esperto,1
homem feio por bonito,0
falar nordestino maranhense morar Maranhão importar Sai bolha otário querer abraço agradecer presidente fazer Ah detestar maconha,1
passar calor loja,0
rt putz sex tape pra gravar dia,1
Vc esquecer mencionar turma agredir ministro presença criança caber BO estatuto ECA covardia chamar,1
tao lindo,0
queiroz ninguém achar,0
amer homem,0
rt fazer papel amigo marcar keylla 300 meme,0
VÍDEO TURMA FOTO LACRADOR PERDOA Entenda chorumesfera atacar truculência adolescente postar foto viagem escolar compartilhar pra reverter dano causar,1
