mensagem,odio
lixo,1
nao vergonha cara,0
mulher doentepilantra,1
Comunista safar,1
Vagabunda Comunista Mentirosa chileno nao merecer desgraça,0
COMUNISTA SAFADA MALPARIDA MAMAGUEVA DESGRAÇADA COÑO MADRE,0
besta quadrar,0
elegeur custa,0
comunista lixo,1
pena galinho VACA LOUCA,0
Mande Bachelet plantar batata asfalto puta parir tamborete bordel achar direito falar Brasil,1
mulherzinha safar,1
oportunista corruptaAgora Comunistas vítima,1
bandida,0
Mentem roubar mamar,0
igual pensar rabo,1
plano esquerda ser críticar plano governo único plano roubar,1
Guarde pena ânsia vômito,0
caráter presidente Bolsonaro,0
problema de ela tetinha secar,1
ser alguém sã consciência acreditar farsante acreditar fio cabelo pintar,1
cara homem né Macron achar gata,1
cara pau,1
nojo pilantra,0
Olha ai hipocrisia mulher,1
Joga carteira trabalho correr verdade gostar trabalhar saber roubar Brasil,0
Velha idiota,1
bandida,0
BACHELETA TRETA MUTRETA CHILENACANALHA SAPATONA BICHELETA,0
Ridícula nojentar,0
hipocrisia seculo caráter humano dar certo,1
realidade imbecilidade humano moral prá,0
pena vc ridículo,0
pena Brasil PT corruPTos mundo tirar vantagem riqueza hipócrita amiga Dilma,1
Óleo peroba pra lustrar cara pau,1
Mentir roubar comunista saber Trabalhar produzir algum jamais,0
Velha barriguda d folgado heim,0
esquerdista falar democracia levar surra voto vagabundo jurar Deus tapa lateral,1
ganância falar alto corrupta,0
nojo,0
Devolve dinheiro roubar via OAS,0
esquerdista ridículo,0
passar mero oportunista passar múmia esquerdista atividade querido zambelli informação,0
Rapariga cego vagabunda pensar pra pitaco vagabunda,1
Bachelet vc esquerdista hipócrita Ter pena vc,1
Q mulher ordinário,1
realmente verdadeiro hipócrita,1
Simples canalha amar dinheiro acabar pra ficar choradeira Esgoto Lama podre ehr comunismo merda Canalhas,1
Pq vaca,1
porca asqueroso,0
realmente hipocrisia estampado cara pau,1
Ridícula cuidar vida,0
pena de ela descobrir podre de ela imoral,1
Velha cretino,1
esquerda aproveitar ser país,1
Horrorosa vaca sujo,1
pena vc corrupta qdo presa,0
Hipocrisia esquerdopata oportunista,0
sentir ranço de ela guardar pena de ela pra mesmo conta Lula mandar dinheiro,1
bandidagem safar Globolixo globonewslixo mídia lixo nojentar apátrido,1
Falsa nota 30,0
esquerdista ordinário safar,1
Bachelet comer toco PT caladinha,1
safada vergonha Velha asqueroso,0
catar,0
Lixo ideológico,0
camarada tinhoso dimal vir acabar começar criticar falar reino pessoa agir imbecis vampiro,1
dever pena próprio ignorância,1
VagabundaOrdinária,0
maldito quadrilha PT ver,1
Vou mandar óleo Peroba pra presente,0
mulherzinha cara pau,1
corrupta conivente desgoverno anterior,0
dia ficor admirado cara pau elite dominante mundo ir otário,1
Vá pena puta parir corrupto,1
piada gente,1
comunista ladrona padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA,0
Bachelet esquerda Hipócrita América latino Pergunte pena Cuba Nicarágua Venezuela,1
catar cuidar paíso Brasil cuidar,0
canalha vagabundo amigo ditadura,1
gentalha tirar vítima derrubar Coitados Deus Deus,1
TONTA SAFADA,0
mentirosa enganador,1
Cachorra safar Brasil tar direção,1
eu ehr similar moça ficar rodovia trocar serviço tirar,1
,0
aff ransor de esse corrupto,0
Bandida esquerdopata,0
Senhora Michele Bachelet respeito merda,1
Velha cretino cuidar paísah pro inferno ruim,1
Toma distrair,0
Velha idiota comunista corrupto,1
Demagoga locupletar dinheiro propina,0
bandido igualmente presidiário cachaceiro Lula,1
